quick_check
ok
name,drawings,min_number,max_number,min_id,max_id
baltbet-main,2199,2759,4959,202,11988
table_name,rows
drawings,2199
events,32985
quotes,32940
drawing_result_snapshots,4
drawing_preparations,5
drawing_event_pins,30
archived_packages,1
package_settlements,0
missing_visible_number
3843
3844
number,id,status,started_at,ended_at,event_count,unique_event_orders,blank_names,quote_rows,pool_complete,bk_complete,norm_complete,pin_complete,resolved_results,void_results,missing_results
2787,230,finished,,2020-08-05T10:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2788,231,finished,,2020-08-06T15:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2789,232,finished,,2020-08-07T15:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2790,233,finished,,2020-08-08T14:00:00.000000Z,15,15,0,15,15,15,0,0,14,0,1
2791,234,finished,,2020-08-09T14:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2792,235,finished,,2020-08-10T14:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2793,236,finished,,2020-08-11T15:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2794,237,finished,,2020-08-12T15:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2795,238,finished,,2020-08-13T14:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2796,239,finished,,2020-08-14T15:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2797,240,finished,,2020-08-15T14:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2798,241,finished,,2020-08-16T15:30:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2799,242,finished,,2020-08-17T16:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2800,243,finished,,2020-08-18T14:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2801,244,finished,,2020-08-19T15:00:00.000000Z,15,15,0,15,15,15,0,0,14,0,1
2802,245,finished,,2020-08-20T16:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2803,246,finished,,2020-08-21T14:00:00.000000Z,15,15,0,15,15,15,0,0,14,0,1
2804,247,finished,,2020-08-22T15:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2805,248,finished,,2020-08-23T14:30:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2806,249,finished,,2020-08-24T15:15:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2807,250,finished,,2020-08-25T15:00:00.000000Z,15,15,0,15,15,15,0,0,14,0,1
2808,251,finished,,2020-08-26T15:30:00.000000Z,15,15,0,15,15,15,0,0,13,0,2
2809,252,finished,,2020-08-27T14:00:00.000000Z,15,15,0,15,15,15,0,0,14,0,1
2810,253,finished,,2020-08-28T15:30:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2811,254,finished,,2020-08-29T16:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2812,255,finished,,2020-08-30T14:30:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2813,256,finished,,2020-08-31T14:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2814,257,finished,,2020-09-01T15:15:00.000000Z,15,15,0,15,15,15,0,0,14,0,1
2815,258,finished,,2020-09-02T15:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2816,259,finished,,2020-09-03T15:30:00.000000Z,15,15,0,15,15,15,0,0,12,0,3
2817,260,finished,,2020-09-04T16:00:00.000000Z,15,15,0,15,15,15,0,0,14,0,1
2818,261,finished,,2020-09-05T14:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2819,262,finished,,2020-09-06T14:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2820,263,finished,,2020-09-07T14:00:00.000000Z,15,15,0,15,15,15,0,0,14,0,1
2821,264,finished,,2020-09-08T15:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2822,265,finished,,2020-09-09T15:30:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2823,266,finished,,2020-09-10T15:30:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2824,267,finished,,2020-09-11T15:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2825,268,finished,,2020-09-12T14:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2826,269,finished,,2020-09-13T14:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2827,270,finished,,2020-09-14T15:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2828,271,finished,,2020-09-15T16:30:00.000000Z,15,15,0,15,15,15,0,0,14,0,1
2829,272,finished,,2020-09-16T15:00:00.000000Z,15,15,0,15,15,15,0,0,14,0,1
2830,273,finished,,2020-09-17T16:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2831,274,finished,,2020-09-18T16:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2832,275,finished,,2020-09-19T13:30:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2833,276,finished,,2020-09-20T13:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2834,277,finished,,2020-09-21T16:00:00.000000Z,15,15,0,15,15,15,0,0,14,0,1
2835,278,finished,,2020-09-22T14:30:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2836,279,finished,,2020-09-23T15:30:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2837,280,finished,,2020-09-24T14:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2838,281,finished,,2020-09-25T18:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2839,282,finished,,2020-09-26T13:30:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2840,283,finished,,2020-09-27T13:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2841,284,finished,,2020-09-28T15:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2842,285,finished,,2020-09-29T16:45:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2843,286,finished,,2020-09-30T18:45:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2844,287,finished,,2020-10-01T17:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2845,288,finished,,2020-10-02T18:00:00.000000Z,15,15,0,15,15,15,0,0,14,0,1
2846,289,finished,,2020-10-03T16:15:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2847,290,finished,,2020-10-04T16:00:00.000000Z,15,15,0,15,15,15,0,0,14,0,1
2848,291,finished,,2020-10-05T16:30:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2849,292,finished,,2020-10-06T18:45:00.000000Z,15,15,0,15,15,15,0,0,14,0,1
2850,293,finished,,2020-10-07T16:00:00.000000Z,15,15,0,15,15,15,0,0,14,0,1
2851,294,finished,,2020-10-08T15:30:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2852,295,finished,,2020-10-09T15:00:00.000000Z,15,15,0,15,15,15,0,0,13,0,2
2853,296,finished,,2020-10-10T16:00:00.000000Z,15,15,0,15,15,15,0,0,14,0,1
2854,297,finished,,2020-10-11T16:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2855,298,finished,,2020-10-12T16:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2856,299,finished,,2020-10-13T18:45:00.000000Z,15,15,0,15,15,15,0,0,14,0,1
2857,300,finished,,2020-10-14T16:00:00.000000Z,15,15,0,15,15,15,0,0,14,0,1
2858,301,finished,,2020-10-15T14:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2859,302,finished,,2020-10-16T15:30:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2860,303,finished,,2020-10-17T14:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2861,304,finished,,2020-10-18T15:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2862,305,finished,,2020-10-19T15:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2863,306,finished,,2020-10-20T18:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2864,307,finished,,2020-10-21T17:00:00.000000Z,15,15,0,15,15,15,0,0,14,0,1
2865,308,finished,,2020-10-22T16:55:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2866,309,finished,,2020-10-23T15:00:00.000000Z,15,15,0,15,15,15,0,0,14,0,1
2867,310,finished,,2020-10-24T14:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2868,311,finished,,2020-10-25T16:15:00.000000Z,15,15,0,15,15,15,0,0,13,0,2
2869,312,finished,,2020-10-26T15:15:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2870,313,finished,,2020-10-27T18:30:00.000000Z,15,15,0,15,15,15,0,0,12,0,3
2871,314,finished,,2020-10-28T17:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2872,315,finished,,2020-10-29T16:30:00.000000Z,15,15,0,15,15,15,0,0,14,0,1
2873,316,finished,,2020-10-30T16:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2874,317,finished,,2020-10-31T15:00:00.000000Z,15,15,0,15,15,15,0,0,14,0,1
2875,318,finished,,2020-11-01T15:00:00.000000Z,15,15,0,15,15,15,0,0,14,0,1
2876,319,finished,,2020-11-02T15:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2877,320,finished,,2020-11-03T17:55:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2878,321,finished,,2020-11-04T16:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2879,322,finished,,2020-11-05T17:55:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2880,323,finished,,2020-11-06T16:40:00.000000Z,15,15,0,15,15,15,0,0,14,0,1
2881,324,finished,,2020-11-07T15:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2882,325,finished,,2020-11-08T14:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2883,326,finished,,2020-11-09T17:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2884,327,finished,,2020-11-10T18:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2885,328,finished,,2020-11-11T16:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2886,329,finished,,2020-11-12T14:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2887,330,finished,,2020-11-13T17:00:00.000000Z,15,15,0,15,15,15,0,0,14,0,1
2888,331,finished,,2020-11-14T15:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2889,332,finished,,2020-11-15T15:15:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2890,333,finished,,2020-11-16T16:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2891,334,finished,,2020-11-17T19:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2892,335,finished,,2020-11-18T16:30:00.000000Z,15,15,0,15,15,15,0,0,14,0,1
2893,336,finished,,2020-11-20T15:30:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2894,337,finished,,2020-11-21T14:30:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2895,338,finished,,2020-11-22T14:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2896,339,finished,,2020-11-23T16:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2897,340,finished,,2020-11-24T18:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2898,341,finished,,2020-11-25T16:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2899,342,finished,,2020-11-26T17:15:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2900,343,finished,,2020-11-27T17:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2901,344,finished,,2020-11-28T14:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2902,345,finished,,2020-11-29T14:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2903,346,finished,,2020-11-30T15:00:00.000000Z,15,15,0,15,15,15,0,0,14,0,1
2904,347,finished,,2020-12-01T18:00:00.000000Z,15,15,0,15,15,15,0,0,14,0,1
2905,348,finished,,2020-12-02T17:55:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2906,349,finished,,2020-12-03T15:45:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2907,350,finished,,2020-12-04T17:00:00.000000Z,15,15,0,15,15,15,0,0,14,0,1
2908,351,finished,,2020-12-05T14:30:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2909,352,finished,,2020-12-06T14:30:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2910,353,finished,,2020-12-07T15:30:00.000000Z,15,15,0,15,15,15,0,0,13,0,2
2911,354,finished,,2020-12-08T19:00:00.000000Z,15,15,0,15,15,15,0,0,14,0,1
2912,355,finished,,2020-12-09T15:30:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2913,356,finished,,2020-12-10T16:30:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2914,357,finished,,2020-12-11T17:30:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2915,358,finished,,2020-12-12T14:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2916,359,finished,,2020-12-13T14:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2917,360,finished,,2020-12-15T17:30:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2918,361,finished,,2020-12-16T17:30:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2919,362,finished,,2020-12-17T14:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2920,363,finished,,2020-12-18T17:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2921,364,finished,,2020-12-19T14:30:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2922,365,finished,,2020-12-20T14:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2923,366,finished,,2020-12-21T15:15:00.000000Z,15,15,0,15,15,15,0,0,14,0,1
2924,367,finished,,2020-12-22T16:30:00.000000Z,15,15,0,15,15,15,0,0,14,0,1
2925,368,finished,,2020-12-23T16:30:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2926,369,finished,,2020-12-24T10:00:00.000000Z,15,15,0,15,15,15,0,0,14,0,1
2927,370,finished,,2020-12-26T15:00:00.000000Z,15,15,0,15,15,15,0,0,14,0,1
2928,371,finished,,2020-12-27T14:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2929,372,finished,,2020-12-28T15:00:00.000000Z,15,15,0,15,15,15,0,0,13,0,2
2930,373,finished,,2020-12-29T17:30:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2931,374,finished,,2020-12-30T14:00:00.000000Z,15,15,0,15,15,15,0,0,14,0,1
2932,375,finished,,2020-12-31T13:00:00.000000Z,15,15,0,15,15,15,0,0,14,0,1
2933,376,finished,,2021-01-02T14:30:00.000000Z,15,15,0,15,15,15,0,0,8,0,7
2934,377,finished,,2021-01-03T14:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2935,378,finished,,2021-01-04T15:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2936,379,finished,,2021-01-05T17:45:00.000000Z,15,15,0,15,15,15,0,0,14,0,1
2937,380,finished,,2021-01-06T14:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2938,381,finished,,2021-01-07T13:00:00.000000Z,15,15,0,15,15,15,0,0,14,0,1
2939,382,finished,,2021-01-08T17:30:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2940,383,finished,,2021-01-09T14:30:00.000000Z,15,15,0,15,15,15,0,0,13,0,2
2941,384,finished,,2021-01-10T14:30:00.000000Z,15,15,0,15,15,15,0,0,13,0,2
2942,385,finished,,2021-01-11T15:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2943,386,finished,,2021-01-12T17:00:00.000000Z,15,15,0,15,15,15,0,0,12,0,3
2944,387,finished,,2021-01-13T14:00:00.000000Z,15,15,0,15,15,15,0,0,14,0,1
2945,388,finished,,2021-01-14T14:00:00.000000Z,15,15,0,15,15,15,0,0,14,0,1
2946,389,finished,,2021-01-15T16:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2947,390,finished,,2021-01-16T14:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2948,391,finished,,2021-01-17T14:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2949,392,finished,,2021-01-18T15:00:00.000000Z,15,15,0,15,15,15,0,0,14,0,1
2950,393,finished,,2021-01-19T18:00:00.000000Z,15,15,0,15,15,15,0,0,12,0,3
2951,394,finished,,2021-01-20T17:30:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2952,395,finished,,2021-01-21T16:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2953,396,finished,,2021-01-22T17:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2954,397,finished,,2021-01-23T14:30:00.000000Z,15,15,0,15,15,15,0,0,13,0,2
2955,398,finished,,2021-01-24T14:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2956,399,finished,,2021-01-25T14:30:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2957,400,finished,,2021-01-26T17:30:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2958,401,finished,,2021-01-27T17:45:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2959,2477,finished,,2021-01-28T14:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2960,2481,finished,,2021-01-29T15:00:00.000000Z,15,15,0,15,15,15,0,0,13,0,2
2961,2485,finished,,2021-01-30T15:00:00.000000Z,15,15,0,15,15,15,0,0,14,0,1
2962,2490,finished,,2021-01-31T15:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2963,2495,finished,,2021-02-01T16:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2964,2499,finished,,2021-02-02T18:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2965,2503,finished,,2021-02-03T18:00:00.000000Z,15,15,0,15,15,15,0,0,14,0,1
2966,2508,finished,,2021-02-04T14:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2967,2510,finished,,2021-02-05T16:00:00.000000Z,15,15,0,15,15,15,0,0,14,0,1
2968,2516,finished,,2021-02-06T15:00:00.000000Z,15,15,0,15,15,15,0,0,14,0,1
2969,2520,finished,,2021-02-07T14:00:00.000000Z,15,15,0,15,15,15,0,0,14,0,1
2970,2523,finished,,2021-02-08T15:00:00.000000Z,15,15,0,15,15,15,0,0,13,0,2
2971,2527,finished,,2021-02-09T17:00:00.000000Z,15,15,0,15,15,15,0,0,13,0,2
2972,2531,finished,,2021-02-10T15:00:00.000000Z,15,15,0,15,15,15,0,0,14,0,1
2973,2534,finished,,2021-02-11T15:00:00.000000Z,15,15,0,15,15,15,0,0,14,0,1
2974,2539,finished,,2021-02-12T15:30:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2975,2543,finished,,2021-02-13T14:30:00.000000Z,15,15,0,15,15,15,0,0,13,0,2
2976,2548,finished,,2021-02-14T14:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2977,2554,finished,,2021-02-15T16:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2978,2556,finished,,2021-02-16T17:30:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2979,2561,finished,,2021-02-17T15:00:00.000000Z,15,15,0,15,15,15,0,0,14,0,1
2980,2564,finished,,2021-02-18T14:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2981,2568,finished,,2021-02-19T16:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2982,2572,finished,,2021-02-20T14:30:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2983,2579,finished,,2021-02-21T14:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2984,2583,finished,,2021-02-22T15:30:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2985,2585,finished,,2021-02-23T17:00:00.000000Z,15,15,0,15,15,15,0,0,14,0,1
2986,2588,finished,,2021-02-24T15:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2987,2592,finished,,2021-02-25T15:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2988,2597,finished,,2021-02-26T17:30:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2989,2601,finished,,2021-02-27T15:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2990,2606,finished,,2021-02-28T14:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2991,2612,finished,,2021-03-01T15:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2992,2615,finished,,2021-03-02T18:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2993,2619,finished,,2021-03-03T17:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2994,2623,finished,,2021-03-04T14:00:00.000000Z,15,15,0,15,15,15,0,0,14,0,1
2995,2626,finished,,2021-03-05T17:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2996,2631,finished,,2021-03-06T14:30:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2997,2636,finished,,2021-03-07T14:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2998,2639,finished,,2021-03-08T15:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2999,2643,finished,,2021-03-09T17:45:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
3000,2648,finished,,2021-03-10T15:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
3001,2650,finished,,2021-03-11T15:00:00.000000Z,15,15,0,15,15,15,0,0,14,0,1
3002,2656,finished,,2021-03-12T16:00:00.000000Z,15,15,0,15,15,15,0,0,14,0,1
3003,2659,finished,,2021-03-13T15:30:00.000000Z,15,15,0,15,15,15,0,0,14,0,1
3004,2665,finished,,2021-03-14T14:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
3005,2669,finished,,2021-03-15T15:30:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
3006,2672,finished,,2021-03-16T16:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
3007,2677,finished,,2021-03-17T14:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
3008,2680,finished,,2021-03-18T15:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
3009,2684,finished,,2021-03-19T15:30:00.000000Z,15,15,0,15,15,15,0,0,13,0,2
3010,2688,finished,,2021-03-20T15:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
3011,2695,finished,,2021-03-21T14:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
3012,2699,finished,,2021-03-22T16:30:00.000000Z,15,15,0,15,15,15,0,0,14,0,1
3013,2702,finished,,2021-03-23T18:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
3014,2707,finished,,2021-03-24T12:00:00.000000Z,15,15,0,15,15,15,0,0,14,0,1
3015,2709,finished,,2021-03-25T13:25:00.000000Z,15,15,0,15,15,15,0,0,13,0,2
3016,2713,finished,,2021-03-26T13:30:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
3017,2717,finished,,2021-03-27T14:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
3018,2720,finished,,2021-03-28T14:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
3019,2724,finished,,2021-03-29T13:29:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
3020,2725,finished,,2021-03-30T16:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
3021,2728,finished,,2021-03-31T16:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
3022,2731,finished,,2021-04-01T14:30:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
3023,2734,finished,,2021-04-02T14:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
3024,2736,finished,,2021-04-03T15:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
3025,2741,finished,,2021-04-04T15:05:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
3026,2744,finished,,2021-04-05T14:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
3027,2745,finished,,2021-04-06T16:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
3028,2750,finished,,2021-04-07T16:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
3029,2752,finished,,2021-04-08T13:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
3030,2754,finished,,2021-04-09T17:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
3031,2758,finished,,2021-04-10T14:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
3032,2759,finished,,2021-04-11T14:15:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
3033,2764,finished,,2021-04-12T16:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
